siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
2017-0093,peaton,peaton,masculino,,fatal
2017-0094,conductor,bicicleta,femenino,entre 50 y 59,fatal
2017-0095,conductor,moto,masculino,entre 30 y 39,fatal
2017-0096,peaton,peaton,masculino,60 y mayores,fatal
2017-0098,peaton,peaton,femenino,60 y mayores,fatal
2017-0099,conductor,bicicleta,masculino,entre 18 y 29,fatal
2017-0100,pasajero_acompañante,moto,femenino,menos de 18,fatal
2017-0101,peaton,peaton,femenino,60 y mayores,fatal
2017-0102,peaton,peaton,masculino,entre 40 y 49,fatal
2017-0104,peaton,peaton,femenino,entre 18 y 29,fatal
2017-0106,peaton,peaton,femenino,60 y mayores,fatal
2017-0107,conductor,moto,masculino,entre 40 y 49,fatal
2017-0108,pasajero_acompañante,auto,masculino,menos de 18,fatal
2017-0108,pasajero_acompañante,auto,masculino,menos de 18,fatal
2017-0109,conductor,moto,masculino,entre 18 y 29,fatal
2017-0110,peaton,peaton,masculino,entre 50 y 59,fatal
2017-0111,peaton,peaton,femenino,60 y mayores,fatal
2017-0112,pasajero_acompañante,auto,masculino,menos de 18,fatal
2017-0112,pasajero_acompañante,auto,masculino,,fatal
2017-0113,peaton,peaton,femenino,60 y mayores,fatal
2017-0114,conductor,auto,masculino,entre 18 y 29,fatal
2017-0115,conductor,moto,masculino,entre 30 y 39,fatal
2017-0116,conductor,moto,masculino,entre 18 y 29,fatal
2017-0118,pasajero_acompañante,moto,femenino,entre 18 y 29,fatal
2017-0120,conductor,moto,masculino,entre 18 y 29,fatal
2017-0123,peaton,peaton,femenino,entre 30 y 39,fatal
2017-0124,conductor,moto,masculino,entre 50 y 59,fatal
2017-0125,conductor,moto,masculino,entre 30 y 39,fatal
2017-0126,pasajero_acompañante,auto,masculino,entre 40 y 49,fatal
2017-0126,conductor,auto,masculino,entre 30 y 39,fatal
2017-0127,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2017-0128,peaton,peaton,femenino,60 y mayores,fatal
2017-0129,conductor,moto,masculino,entre 50 y 59,fatal
2017-0130,conductor,auto,masculino,entre 18 y 29,fatal
2017-0132,conductor,moto,masculino,entre 18 y 29,fatal
2017-0134,peaton,peaton,femenino,entre 40 y 49,fatal
2017-0135,conductor,moto,masculino,entre 18 y 29,fatal
2017-0136,peaton,peaton,masculino,entre 50 y 59,fatal
2017-0137,peaton,peaton,femenino,60 y mayores,fatal
2017-0138,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2017-0139,pasajero_acompañante,auto,femenino,menos de 18,fatal
2017-0140,conductor,moto,masculino,entre 18 y 29,fatal
2017-0141,peaton,peaton,femenino,entre 18 y 29,fatal
2017-0143,conductor,auto,masculino,entre 50 y 59,fatal
2017-0144,pasajero_acompañante,auto,femenino,entre 50 y 59,fatal
2017-0145,conductor,moto,masculino,entre 50 y 59,fatal
2017-0147,conductor,moto,masculino,entre 50 y 59,fatal
2017-0148,peaton,peaton,femenino,60 y mayores,fatal
2017-0149,peaton,peaton,masculino,menos de 18,fatal
2017-0150,peaton,peaton,masculino,entre 50 y 59,fatal
2017-0151,peaton,peaton,masculino,,fatal
2017-0152,conductor,bicicleta,masculino,entre 18 y 29,fatal
2017-0153,pasajero_acompañante,moto,masculino,,fatal
2017-0153,conductor,moto,masculino,entre 30 y 39,fatal
2017-0154,peaton,peaton,masculino,60 y mayores,fatal
2017-0155,,,masculino,60 y mayores,fatal
2017-0157,conductor,auto,masculino,entre 50 y 59,fatal
2017-0158,conductor,moto,masculino,entre 30 y 39,fatal
2017-0159,conductor,moto,masculino,entre 18 y 29,fatal
2017-0160,peaton,peaton,femenino,entre 30 y 39,fatal
2017-0161,peaton,peaton,femenino,entre 30 y 39,fatal
2018-0001,peaton,peaton,masculino,60 y mayores,fatal
2018-0002,conductor,bicicleta,femenino,entre 18 y 29,fatal
2018-0003,peaton,peaton,femenino,entre 50 y 59,fatal
2018-0004,conductor,moto,masculino,entre 40 y 49,fatal
2018-0005,peaton,peaton,masculino,entre 50 y 59,fatal
2018-0006,conductor,bicicleta,femenino,entre 40 y 49,fatal
2018-0007,conductor,auto,masculino,entre 40 y 49,fatal
2018-0008,conductor,moto,femenino,entre 30 y 39,fatal
2018-0009,conductor,moto,masculino,entre 18 y 29,fatal
2018-0010,conductor,moto,masculino,entre 40 y 49,fatal
2018-0011,peaton,peaton,masculino,60 y mayores,fatal
2018-0012,conductor,moto,masculino,entre 18 y 29,fatal
2018-0013,conductor,moto,masculino,entre 40 y 49,fatal
2018-0014,peaton,peaton,masculino,,fatal
2018-0015,conductor,moto,masculino,entre 18 y 29,fatal
2018-0015,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2018-0016,conductor,moto,masculino,entre 30 y 39,fatal
2018-0017,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0018,conductor,moto,masculino,entre 18 y 29,fatal
2018-0019,peaton,peaton,femenino,60 y mayores,fatal
2018-0020,conductor,moto,masculino,entre 18 y 29,fatal
2018-0021,peaton,peaton,femenino,60 y mayores,fatal
2018-0022,conductor,moto,masculino,entre 18 y 29,fatal
2018-0023,conductor,moto,masculino,entre 18 y 29,fatal
2018-0024,peaton,peaton,masculino,60 y mayores,fatal
2018-0025,peaton,peaton,masculino,60 y mayores,fatal
2018-0026,conductor,movil,masculino,entre 18 y 29,fatal
2018-0026,pasajero_acompañante,movil,masculino,entre 30 y 39,fatal
2018-0027,peaton,peaton,femenino,60 y mayores,fatal
2018-0028,peaton,peaton,masculino,60 y mayores,fatal
